날짜,종가,전일비,등락률,거래량(천주),거래대금(백만)
2022-07-08,2350.61,16.34,,411424.0,7008117.0
2022-07-11,2340.27,10.34,,377108.0,6301233.0
2022-07-12,2317.76,22.51,,379308.0,6369257.0
2022-07-13,2328.61,10.85,,308806.0,5998501.0
2022-07-14,2322.32,6.29,,349137.0,6539856.0
2022-07-15,2330.98,8.66,,319675.0,7383211.0
2022-07-18,2375.25,44.27,,324357.0,7104661.0
2022-07-19,2370.97,4.28,,339377.0,6556190.0
2022-07-20,2386.85,15.88,,333329.0,7434803.0
2022-07-21,2409.16,22.31,,295624.0,6309070.0
2022-07-22,2393.14,16.02,,381596.0,6973850.0
2022-07-25,2403.69,10.55,,323090.0,5959859.0
2022-07-26,2412.96,9.27,,415671.0,6240741.0
2022-07-27,2415.53,2.57,,333587.0,7049802.0
2022-07-28,2435.27,19.74,,491073.0,9196434.0
2022-07-29,2451.5,16.23,,499369.0,10256338.0
2022-08-01,2452.25,0.75,,487160.0,7509597.0
2022-08-02,2439.62,12.63,,549923.0,7266264.0
2022-08-03,2461.45,21.83,,475302.0,6751538.0
2022-08-04,2473.11,11.66,,399964.0,7506315.0
2022-08-05,2490.8,17.69,,409776.0,7561092.0
2022-08-08,2493.1,2.3,,418234.0,7613758.0
2022-08-09,2503.46,10.36,,454363.0,8940803.0
2022-08-10,2480.88,22.58,,479467.0,9029482.0
2022-08-11,2523.78,42.9,,505245.0,9710839.0
2022-08-12,2527.94,4.16,,445546.0,8028576.0
2022-08-16,2533.52,5.58,,398335.0,8064107.0
2022-08-17,2516.47,17.05,,418052.0,7153680.0
2022-08-18,2508.05,8.42,,381627.0,7105984.0
2022-08-19,2492.69,15.36,,459834.0,7138647.0
2022-08-22,2462.5,30.19,,422552.0,6108018.0
2022-08-23,2435.34,27.16,,471166.0,7560708.0
2022-08-24,2447.45,12.11,,423502.0,8119783.0
2022-08-25,2477.26,29.81,,426229.0,7286329.0
2022-08-26,2481.03,3.77,,520091.0,8628665.0
2022-08-29,2426.89,54.14,,448746.0,7891467.0
2022-08-30,2450.93,24.04,,336555.0,6826615.0
2022-08-31,2472.05,21.12,,436246.0,9562592.0
2022-09-01,2415.61,56.44,,580021.0,8452317.0
2022-09-02,2409.41,6.2,,391598.0,7214619.0
2022-09-05,2403.68,5.73,,354737.0,6277833.0
2022-09-06,2410.02,6.34,,294224.0,5476236.0
2022-09-07,2376.46,33.56,,378200.0,7530889.0
2022-09-08,2384.28,7.82,,423620.0,9208735.0
2022-09-13,2449.54,65.26,,367102.0,9165153.0
2022-09-14,2411.42,38.12,,461507.0,7625505.0
2022-09-15,2401.83,9.59,,424110.0,7432763.0
2022-09-16,2382.78,19.05,,440798.0,8690463.0
2022-09-19,2355.66,27.12,,403937.0,6885918.0
2022-09-20,2367.85,12.19,,419340.0,7013236.0
2022-09-21,2347.21,20.64,,378165.0,6269073.0
2022-09-22,2332.31,14.9,,446820.0,7413267.0
2022-09-23,2290.0,42.31,,446460.0,7416795.0
2022-09-26,2220.94,69.06,,621995.0,9461817.0
2022-09-27,2223.86,2.92,,487939.0,8005556.0
2022-09-28,2169.29,54.57,,596136.0,9208349.0
2022-09-29,2170.93,1.64,,508500.0,7240707.0
2022-09-30,2155.49,15.44,,950269.0,7923750.0
2022-10-04,2209.38,53.89,,421003.0,7500281.0
2022-10-05,2215.22,5.84,,855790.0,9509079.0
2022-10-06,2237.86,22.64,,643015.0,6850065.0
2022-10-07,2232.84,5.02,,428682.0,7831443.0
2022-10-11,2192.07,40.77,,859508.0,7867859.0
2022-10-12,2202.47,10.4,,658347.0,7409130.0
2022-10-13,2162.87,39.6,,792452.0,7169779.0
2022-10-14,2212.55,49.68,,513523.0,7161818.0
2022-10-17,2219.71,7.16,,498780.0,6526810.0
2022-10-18,2249.95,30.24,,580891.0,7249919.0
2022-10-19,2237.44,12.51,,895161.0,7738879.0
2022-10-20,2218.09,19.35,,1108102.0,8325030.0
2022-10-21,2213.12,4.97,,637486.0,6228174.0
2022-10-24,2236.16,23.04,,444820.0,6846985.0
2022-10-25,2235.07,1.09,,456770.0,7030016.0
2022-10-26,2249.56,14.49,,563441.0,7492742.0
2022-10-27,2288.78,39.22,,587872.0,8435336.0
2022-10-28,2268.4,20.38,,427245.0,8289370.0
2022-10-31,2293.61,25.21,,401399.0,8679296.0
2022-11-01,2335.22,41.61,,597205.0,9476615.0
2022-11-02,2336.87,1.65,,450634.0,9568100.0
2022-11-03,2329.17,7.7,,550428.0,9273251.0
2022-11-04,2348.43,19.26,,436430.0,7927339.0
2022-11-07,2371.79,23.36,,392508.0,8059881.0
2022-11-08,2399.04,27.25,,500087.0,8601453.0
2022-11-09,2424.41,25.37,,680722.0,9342671.0
2022-11-10,2402.23,22.18,,899127.0,9344425.0
2022-11-11,2483.16,80.93,,758247.0,13917647.0
2022-11-14,2474.65,8.51,,731166.0,11216385.0
2022-11-15,2480.33,5.68,,617401.0,9308852.0
2022-11-16,2477.45,2.88,,657833.0,9880428.0
2022-11-17,2442.9,34.55,,914519.0,8556988.0
2022-11-18,2444.48,1.58,,589585.0,7444437.0
2022-11-21,2419.5,24.98,,544528.0,7049427.0
2022-11-22,2405.27,14.23,,539169.0,7253675.0
2022-11-23,2418.01,12.74,,474789.0,7477108.0
2022-11-24,2441.33,23.32,,481184.0,6849558.0
2022-11-25,2437.86,3.47,,438394.0,6347578.0
2022-11-28,2408.27,29.59,,350496.0,6462501.0
2022-11-29,2433.39,25.12,,550174.0,6533346.0
2022-11-30,2472.53,39.14,,594127.0,12469429.0
2022-12-01,2479.84,7.31,,491383.0,8850099.0
2022-12-02,2434.33,45.51,,468847.0,7328393.0
2022-12-05,2419.32,15.01,,385586.0,7717406.0
2022-12-06,2393.16,26.16,,368635.0,6477022.0
2022-12-07,2382.81,10.35,,332586.0,6080662.0
2022-12-08,2371.08,11.73,,351939.0,7552996.0
2022-12-09,2389.04,17.96,,315674.0,7220197.0
2022-12-12,2373.02,16.02,,499224.0,5822259.0
2022-12-13,2372.4,0.62,,447565.0,6659361.0
2022-12-14,2399.25,26.85,,409799.0,5724107.0
2022-12-15,2360.97,38.28,,375386.0,6134217.0
2022-12-16,2360.02,0.95,,414172.0,7206180.0
2022-12-19,2352.17,7.85,,323987.0,5018051.0
2022-12-20,2333.29,18.88,,358771.0,5335838.0
2022-12-21,2328.95,4.34,,329724.0,5102489.0
2022-12-22,2356.73,27.78,,553052.0,9460858.0
2022-12-23,2313.69,43.04,,366988.0,5935798.0
2022-12-26,2317.14,3.45,,427844.0,5205750.0
2022-12-27,2332.79,15.65,,448498.0,7126994.0
2022-12-28,2280.45,52.34,,405893.0,7566892.0
2022-12-29,2236.4,44.05,,361194.0,6036542.0
2023-01-02,2225.67,10.73,,346344.0,5200137.0
2023-01-03,2218.68,6.99,,410245.0,6149082.0
2023-01-04,2255.98,37.3,,412841.0,6487597.0
2023-01-05,2264.65,8.67,,430977.0,7521178.0
2023-01-06,2289.97,25.32,,398606.0,6764112.0
2023-01-09,2350.19,60.22,,342095.0,7028980.0
2023-01-10,2351.31,1.12,,359914.0,6702908.0
2023-01-11,2359.53,8.22,,369010.0,6297145.0
2023-01-12,2365.1,5.57,,580433.0,7837776.0
2023-01-13,2386.09,20.99,,862230.0,6976741.0
2023-01-16,2399.86,13.77,,517762.0,6532806.0
2023-01-17,2379.39,20.47,,536811.0,6314017.0
2023-01-18,2368.32,11.07,,537392.0,5498577.0
2023-01-19,2380.34,12.02,,370098.0,5448179.0
2023-01-20,2395.26,14.92,,302506.0,5025541.0
2023-01-25,2428.57,33.31,,550087.0,6665406.0
2023-01-26,2468.65,40.08,,486832.0,8206399.0
2023-01-27,2484.02,15.37,,509288.0,9092447.0
2023-01-30,2450.47,33.55,,475410.0,9220413.0
2023-01-31,2425.08,25.39,,617196.0,10394784.0
2023-02-01,2449.8,24.72,,666296.0,8596021.0
2023-02-02,2468.88,19.08,,693116.0,9121678.0
2023-02-03,2480.4,11.52,,496861.0,8027061.0
2023-02-06,2438.19,42.21,,566819.0,7671311.0
2023-02-07,2451.71,13.52,,451159.0,7594011.0
