날짜,종가,시가,고가,저가,거래량
2025-11-24,438500.0,611000.0,611000.0,428500.0,1178683.0
2025-11-25,335500.0,395000.0,412000.0,330000.0,1690325.0
2025-11-26,363000.0,337000.0,394500.0,329000.0,2178506.0
2025-11-27,434500.0,351000.0,458500.0,351000.0,2858529.0
2025-11-28,429000.0,437000.0,476000.0,425500.0,1666338.0
2025-12-01,398000.0,429500.0,436500.0,395000.0,884247.0
2025-12-02,442000.0,402000.0,449000.0,385000.0,1923357.0
2025-12-03,549000.0,454500.0,562000.0,452500.0,3759058.0
2025-12-04,557000.0,537000.0,578000.0,525000.0,1946500.0
2025-12-05,515000.0,552000.0,590000.0,514000.0,1284866.0
2025-12-08,515000.0,525000.0,537000.0,506000.0,681006.0
2025-12-09,575000.0,521000.0,585000.0,519000.0,2149855.0
2025-12-10,565000.0,569000.0,577000.0,555000.0,634546.0
2025-12-11,569000.0,572000.0,606000.0,563000.0,1277380.0
2025-12-12,661000.0,571000.0,689000.0,570000.0,2493488.0
2025-12-15,709000.0,650000.0,739000.0,649000.0,1591265.0
2025-12-16,712000.0,718000.0,759000.0,707000.0,1281265.0
2025-12-17,666000.0,712000.0,713000.0,660000.0,741249.0
2025-12-18,680000.0,648000.0,720000.0,648000.0,1039039.0
2025-12-19,673000.0,693000.0,703000.0,663000.0,433458.0
2025-12-22,663000.0,686000.0,688000.0,650000.0,411969.0
2025-12-23,652000.0,668000.0,672000.0,640000.0,411504.0
2025-12-24,638000.0,649000.0,669000.0,636000.0,391074.0
2025-12-26,680000.0,639000.0,705000.0,637000.0,919960.0
2025-12-29,739000.0,691000.0,750000.0,680000.0,741759.0
2025-12-30,743000.0,743000.0,765000.0,726000.0,676279.0
2026-01-02,715000.0,754000.0,773000.0,701000.0,378185.0
2026-01-05,705000.0,702000.0,721000.0,671000.0,216659.0
2026-01-06,690000.0,711000.0,736000.0,681000.0,283375.0
2026-01-07,697000.0,700000.0,708000.0,681000.0,192050.0
2026-01-08,689000.0,711000.0,716000.0,681000.0,230302.0
2026-01-09,688000.0,690000.0,699000.0,675500.0,181703.0
2026-01-12,663000.0,690000.0,690000.0,657000.0,201774.0
2026-01-13,668000.0,667000.0,686000.0,661000.0,163472.0
2026-01-14,652000.0,673000.0,673000.0,650000.0,145336.0
2026-01-15,685000.0,649000.0,693000.0,646000.0,246587.0
2026-01-16,651000.0,683000.0,683000.0,651000.0,214930.0
2026-01-19,630000.0,652000.0,652000.0,630000.0,193226.0
2026-01-20,632000.0,640000.0,654000.0,630000.0,174733.0
2026-01-21,615000.0,614000.0,630000.0,596000.0,234171.0
2026-01-22,640000.0,619000.0,664000.0,605000.0,273481.0
2026-01-23,638000.0,635000.0,646000.0,624000.0,131560.0
2026-01-26,640000.0,631000.0,650000.0,629000.0,137985.0
2026-01-27,612000.0,625000.0,626000.0,607000.0,211411.0
2026-01-28,628000.0,615000.0,646000.0,615000.0,178384.0
2026-01-29,619000.0,628000.0,631000.0,612000.0,103248.0
2026-01-30,606000.0,620000.0,621000.0,606000.0,100234.0
2026-02-02,584000.0,600000.0,621000.0,581000.0,129758.0
2026-02-03,598000.0,595000.0,604000.0,583000.0,81560.0
2026-02-04,607000.0,590000.0,608000.0,590000.0,74476.0
2026-02-05,581000.0,613000.0,619000.0,581000.0,94551.0
2026-02-06,558000.0,559000.0,567000.0,547000.0,93670.0
2026-02-09,598000.0,574000.0,605000.0,572000.0,101481.0
2026-02-10,615000.0,601000.0,621000.0,587000.0,119603.0
2026-02-11,615000.0,632000.0,648000.0,615000.0,201687.0
2026-02-12,610000.0,619000.0,619000.0,604000.0,92185.0
2026-02-13,603000.0,610000.0,617000.0,599000.0,63139.0
2026-02-19,621000.0,604000.0,625000.0,604000.0,93336.0
2026-02-20,613000.0,622000.0,629000.0,612000.0,56875.0
2026-02-23,655000.0,614000.0,664000.0,612000.0,250538.0
2026-02-24,674000.0,657000.0,680000.0,652000.0,194455.0
2026-02-25,673000.0,671000.0,685000.0,666000.0,104405.0
2026-02-26,681000.0,668000.0,687000.0,659000.0,178537.0
2026-02-27,675000.0,681000.0,682000.0,656000.0,901378.0
2026-03-03,598000.0,658000.0,659000.0,593000.0,240182.0
2026-03-04,525000.0,578000.0,589000.0,505000.0,108486.0
2026-03-05,561000.0,563000.0,577000.0,546000.0,76218.0
2026-03-06,544000.0,541000.0,554000.0,524000.0,113066.0
2026-03-09,510000.0,511000.0,514000.0,493500.0,84696.0
2026-03-10,532000.0,541000.0,544000.0,524000.0,56517.0
2026-03-11,541000.0,554000.0,566500.0,533000.0,61211.0
2026-03-12,542000.0,549000.0,552000.0,522000.0,121190.0
2026-03-13,532000.0,524000.0,541000.0,523000.0,37493.0
2026-03-16,515000.0,535000.0,535000.0,509000.0,45314.0
2026-03-17,525000.0,528000.0,549000.0,525000.0,58077.0
