날짜,종가,시가,고가,저가,거래량
2021-04-21,19550.0,19800.0,19800.0,19450.0,178365.0
2021-04-22,19850.0,19550.0,19950.0,19500.0,217697.0
2021-04-23,19650.0,19800.0,19800.0,19400.0,179712.0
2021-04-26,19400.0,19700.0,19800.0,19400.0,207968.0
2021-04-27,20250.0,19550.0,20450.0,19400.0,671869.0
2021-04-28,20350.0,20500.0,21150.0,20050.0,1010255.0
2021-04-29,21900.0,20400.0,22150.0,19450.0,2147009.0
2021-04-30,22050.0,22200.0,22450.0,21200.0,1452803.0
2021-05-03,20900.0,21700.0,22750.0,20800.0,1041939.0
2021-05-04,22100.0,20900.0,22100.0,20200.0,898450.0
2021-05-06,23400.0,22000.0,23500.0,21900.0,1455550.0
2021-05-07,23450.0,23400.0,23850.0,23100.0,540858.0
2021-05-10,23750.0,23400.0,23800.0,22800.0,608999.0
2021-05-11,24450.0,23500.0,24700.0,23200.0,640853.0
2021-05-12,24850.0,24250.0,25000.0,23900.0,709647.0
2021-05-13,22650.0,24300.0,24750.0,22550.0,1002177.0
2021-05-14,23050.0,23150.0,23500.0,22600.0,365043.0
2021-05-17,22150.0,23050.0,23250.0,22000.0,428247.0
2021-05-18,22900.0,22200.0,23200.0,22200.0,283467.0
2021-05-20,22400.0,22600.0,22700.0,21950.0,306904.0
2021-05-21,21500.0,22700.0,23200.0,21300.0,810001.0
2021-05-24,21350.0,22850.0,22850.0,21350.0,745300.0
2021-05-25,21400.0,21550.0,21700.0,21100.0,295194.0
2021-05-26,21150.0,21400.0,21700.0,21000.0,296541.0
2021-05-27,21950.0,21350.0,21950.0,21100.0,302499.0
2021-05-28,21750.0,21900.0,22000.0,21600.0,173890.0
2021-05-31,21900.0,21650.0,21950.0,21300.0,243256.0
2021-06-01,22200.0,21900.0,22550.0,21650.0,323071.0
2021-06-02,23200.0,22250.0,23250.0,22100.0,574758.0
2021-06-03,23000.0,23050.0,23500.0,22800.0,343205.0
2021-06-04,22950.0,22900.0,23450.0,22800.0,273629.0
2021-06-07,22600.0,23200.0,23300.0,22250.0,315366.0
2021-06-08,21700.0,22600.0,22650.0,21600.0,412686.0
2021-06-09,21550.0,21700.0,22000.0,21400.0,230004.0
2021-06-10,21250.0,21600.0,21800.0,21000.0,371594.0
2021-06-11,21800.0,21300.0,21900.0,21300.0,246807.0
2021-06-14,21850.0,21950.0,22150.0,21700.0,168369.0
2021-06-15,21800.0,21900.0,21900.0,21400.0,177209.0
2021-06-16,21800.0,21850.0,21900.0,21400.0,239653.0
2021-06-17,21550.0,21750.0,21800.0,21350.0,202482.0
2021-06-18,20650.0,21550.0,21600.0,20550.0,814281.0
2021-06-21,20300.0,20450.0,20750.0,20250.0,254518.0
2021-06-22,20500.0,20500.0,20650.0,20400.0,188945.0
2021-06-23,20450.0,20450.0,20750.0,20200.0,225880.0
2021-06-24,19950.0,20350.0,20400.0,19900.0,333264.0
2021-06-25,20350.0,20100.0,20700.0,20100.0,265769.0
2021-06-28,20550.0,20500.0,20800.0,20400.0,170915.0
2021-06-29,20500.0,20700.0,20700.0,20350.0,124273.0
2021-06-30,20600.0,20450.0,20800.0,20400.0,183089.0
2021-07-01,20700.0,20750.0,20750.0,20500.0,134522.0
2021-07-02,20700.0,20700.0,21100.0,20650.0,212136.0
2021-07-05,20600.0,21000.0,21000.0,20550.0,118677.0
